number of most frequent words:,10,number of articles per category:,50
 ,Language_50,Reference_50,Religion_50,Science_50,Arts_50,Entertainment_50,Business_50,Society_50,Life_50,People_50,Universe_50,Nature_50,Concepts_50,History_50,Technology_50,Culture_50,Mathematics_50,Sports_50,Politics_50,Geography_50,Humanities_50,World_50,Education_50,Philosophy_50,Law_50,Events_50,Health_50
Language_50,1.0,0.216,0.16,0.162,0.166,0.164,0.218,0.178,0.162,0.136,0.188,0.14,0.19,0.214,0.206,0.17,0.2286902286902287,0.184,0.168,0.186,0.17,0.148,0.248,0.21,0.242,0.188,0.134
Reference_50,0.216,1.0,0.142,0.212,0.16,0.124,0.196,0.174,0.178,0.122,0.154,0.164,0.188,0.178,0.162,0.17,0.18503118503118504,0.16,0.146,0.186,0.146,0.166,0.206,0.188,0.166,0.158,0.138
Religion_50,0.16,0.142,1.0,0.174,0.162,0.124,0.168,0.206,0.172,0.206,0.154,0.134,0.164,0.228,0.142,0.182,0.13721413721413722,0.154,0.254,0.126,0.166,0.186,0.188,0.234,0.252,0.142,0.15
Science_50,0.162,0.212,0.174,1.0,0.138,0.116,0.2,0.184,0.206,0.112,0.242,0.188,0.262,0.206,0.186,0.176,0.18087318087318088,0.166,0.162,0.166,0.168,0.19,0.224,0.228,0.174,0.162,0.188
Arts_50,0.166,0.16,0.162,0.138,1.0,0.224,0.162,0.194,0.176,0.142,0.124,0.124,0.148,0.244,0.14,0.186,0.1496881496881497,0.18,0.144,0.152,0.2,0.142,0.178,0.212,0.172,0.206,0.132
Entertainment_50,0.164,0.124,0.124,0.116,0.224,1.0,0.132,0.158,0.176,0.154,0.096,0.1,0.122,0.15,0.132,0.178,0.1101871101871102,0.17,0.138,0.134,0.16,0.138,0.124,0.134,0.122,0.19,0.124
Business_50,0.218,0.196,0.168,0.2,0.162,0.132,1.0,0.278,0.164,0.1,0.332,0.15,0.228,0.214,0.332,0.16,0.3284823284823285,0.236,0.262,0.19,0.154,0.21,0.372,0.23,0.286,0.206,0.236
Society_50,0.178,0.174,0.206,0.184,0.194,0.158,0.278,1.0,0.186,0.146,0.2,0.138,0.192,0.206,0.196,0.182,0.16216216216216217,0.186,0.262,0.164,0.188,0.212,0.248,0.216,0.272,0.242,0.188
Life_50,0.162,0.178,0.172,0.206,0.176,0.176,0.164,0.186,1.0,0.158,0.158,0.17,0.202,0.176,0.168,0.164,0.158004158004158,0.198,0.15,0.15,0.168,0.186,0.196,0.2,0.174,0.198,0.168
People_50,0.136,0.122,0.206,0.112,0.142,0.154,0.1,0.146,0.158,1.0,0.076,0.092,0.09,0.19,0.11,0.164,0.08108108108108109,0.148,0.184,0.104,0.148,0.148,0.106,0.12,0.2,0.152,0.138
Universe_50,0.188,0.154,0.154,0.242,0.124,0.096,0.332,0.2,0.158,0.076,1.0,0.274,0.308,0.182,0.284,0.11,0.3596673596673597,0.186,0.18,0.274,0.166,0.196,0.308,0.254,0.202,0.168,0.192
Nature_50,0.14,0.164,0.134,0.188,0.124,0.1,0.15,0.138,0.17,0.092,0.274,1.0,0.212,0.16,0.184,0.112,0.16216216216216217,0.14,0.104,0.246,0.138,0.204,0.148,0.128,0.118,0.14,0.148
Concepts_50,0.19,0.188,0.164,0.262,0.148,0.122,0.228,0.192,0.202,0.09,0.308,0.212,1.0,0.178,0.224,0.14,0.23492723492723494,0.172,0.164,0.206,0.158,0.154,0.236,0.248,0.192,0.128,0.182
History_50,0.214,0.178,0.228,0.206,0.244,0.15,0.214,0.206,0.176,0.19,0.182,0.16,0.178,1.0,0.21,0.198,0.1683991683991684,0.224,0.226,0.206,0.192,0.214,0.216,0.206,0.248,0.216,0.12
Technology_50,0.206,0.162,0.142,0.186,0.14,0.132,0.332,0.196,0.168,0.11,0.284,0.184,0.224,0.21,1.0,0.12,0.23700623700623702,0.23,0.202,0.23,0.146,0.23,0.288,0.162,0.22,0.17,0.204
Culture_50,0.17,0.17,0.182,0.176,0.186,0.178,0.16,0.182,0.164,0.164,0.11,0.112,0.14,0.198,0.12,1.0,0.12474012474012475,0.178,0.172,0.148,0.212,0.188,0.174,0.178,0.196,0.16,0.14
Mathematics_50,0.22,0.178,0.132,0.174,0.144,0.106,0.316,0.156,0.152,0.078,0.346,0.156,0.226,0.162,0.228,0.12,1.0,0.148,0.13,0.222,0.116,0.124,0.262,0.248,0.208,0.136,0.146
Sports_50,0.184,0.16,0.154,0.166,0.18,0.17,0.236,0.186,0.198,0.148,0.186,0.14,0.172,0.224,0.23,0.178,0.15384615384615385,1.0,0.206,0.178,0.154,0.186,0.268,0.16,0.206,0.238,0.186
Politics_50,0.168,0.146,0.254,0.162,0.144,0.138,0.262,0.262,0.15,0.184,0.18,0.104,0.164,0.226,0.202,0.172,0.13513513513513514,0.206,1.0,0.13,0.164,0.24,0.228,0.212,0.346,0.176,0.196
Geography_50,0.186,0.186,0.126,0.166,0.152,0.134,0.19,0.164,0.15,0.104,0.274,0.246,0.206,0.206,0.23,0.148,0.23076923076923078,0.178,0.13,1.0,0.144,0.21,0.208,0.144,0.138,0.17,0.16
Humanities_50,0.17,0.146,0.166,0.168,0.2,0.16,0.154,0.188,0.168,0.148,0.166,0.138,0.158,0.192,0.146,0.212,0.12058212058212059,0.154,0.164,0.144,1.0,0.182,0.192,0.204,0.22,0.166,0.16
World_50,0.148,0.166,0.186,0.19,0.142,0.138,0.21,0.212,0.186,0.148,0.196,0.204,0.154,0.214,0.23,0.188,0.1288981288981289,0.186,0.24,0.21,0.182,1.0,0.222,0.174,0.238,0.206,0.228
Education_50,0.248,0.206,0.188,0.224,0.178,0.124,0.372,0.248,0.196,0.106,0.308,0.148,0.236,0.216,0.288,0.174,0.27234927234927236,0.268,0.228,0.208,0.192,0.222,1.0,0.264,0.318,0.184,0.226
Philosophy_50,0.21,0.188,0.234,0.228,0.212,0.134,0.23,0.216,0.2,0.12,0.254,0.128,0.248,0.206,0.162,0.178,0.2577962577962578,0.16,0.212,0.144,0.204,0.174,0.264,1.0,0.27,0.176,0.16
Law_50,0.242,0.166,0.252,0.174,0.172,0.122,0.286,0.272,0.174,0.2,0.202,0.118,0.192,0.248,0.22,0.196,0.21621621621621623,0.206,0.346,0.138,0.22,0.238,0.318,0.27,1.0,0.198,0.212
Events_50,0.188,0.158,0.142,0.162,0.206,0.19,0.206,0.242,0.198,0.152,0.168,0.14,0.128,0.216,0.17,0.16,0.14137214137214138,0.238,0.176,0.17,0.166,0.206,0.184,0.176,0.198,1.0,0.206
Health_50,0.134,0.138,0.15,0.188,0.132,0.124,0.236,0.188,0.168,0.138,0.192,0.148,0.182,0.12,0.204,0.14,0.15176715176715178,0.186,0.196,0.16,0.16,0.228,0.226,0.16,0.212,0.206,1.0
